Record_ID,Supply_Date,Zone,Distribution_Station,Water_Source,Supply_Volume_Liters,Consumption_Liters,Water_Loss_Liters,Pressure_PSI,Pipeline_ID,Leakage_Events,Water_Quality,PH_Value,Turbidity_NTU,Consumer_Count,Maintenance_Cost,System_Status
15,2026-02-08,East,DS29,TreatmentPlant,133947.67,93168.35,40779.32,50.3,P253,1,Moderate,7.97,2.68,3622,22961.42,Maintenance
16,2026-03-04,North,DS17,TreatmentPlant,183297.81,175371.86,7925.95,75.0,P295,3,Excellent,6.54,2.84,1010,84041.52,Normal
17,2026-06-25,North,DS10,River,16872.04,14698.39,2173.65,48.6,P656,4,Moderate,7.4,2.54,2101,73317.43,Critical
18,2026-02-28,West,DS30,Reservoir,23294.42,16462.22,6832.2,66.6,P246,2,Good,7.36,7.37,956,91039.37,Normal
19,2026-05-20,North,DS23,Reservoir,153276.3,110367.76,42908.54,71.4,P452,5,Excellent,8.22,5.02,4554,65962.88,Maintenance
20,2026-01-07,South,DS30,TreatmentPlant,134917.93,109483.21,25434.72,59.0,P140,4,Poor,8.25,9.17,2062,6470.39,Normal
21,2026-03-15,North,DS28,TreatmentPlant,110785.91,75800.95,34984.96,67.4,P542,3,Excellent,7.19,7.64,808,65244.16,Normal
22,2026-05-27,North,DS10,Groundwater,20232.43,19712.47,519.96,67.4,P741,2,Moderate,7.78,9.11,4671,67345.13,Maintenance
23,2026-06-09,North,DS13,River,173053.38,158242.31,14811.07,58.6,P894,4,Excellent,7.15,1.31,3282,15064.86,Normal
24,2026-02-06,North,DS18,TreatmentPlant,44400.91,42640.75,1760.16,28.3,P695,1,Excellent,8.03,3.21,2327,61450.43,Maintenance
25,2026-04-23,West,DS28,TreatmentPlant,181334.85,137491.56,43843.29,33.4,P709,4,Excellent,7.85,8.29,1142,84084.81,Maintenance
26,2026-04-10,South,DS6,Reservoir,153210.79,143490.61,9720.18,33.7,P922,0,Poor,8.35,1.85,3448,98000.38,Maintenance
27,2026-01-31,North,DS10,Reservoir,47520.39,34443.01,13077.38,74.0,P419,5,Poor,6.9,3.38,3893,14138.69,Normal
28,2026-05-28,West,DS12,Groundwater,94910.11,84396.59,10513.52,25.1,P530,0,Moderate,7.48,4.68,2222,14900.31,Normal
29,2026-04-03,West,DS27,River,144283.26,117622.3,26660.96,70.6,P529,2,Good,8.27,8.96,626,42975.91,Normal
30,2026-03-09,East,DS11,TreatmentPlant,137130.18,106530.12,30600.06,52.2,P585,5,Poor,6.76,8.25,2851,39107.98,Leakage
31,2026-06-18,North,DS12,TreatmentPlant,184264.2,149570.5,34693.7,27.4,P868,4,Good,7.93,6.94,2423,99604.7,Critical
32,2026-05-05,East,DS26,TreatmentPlant,80568.25,55202.71,25365.54,72.3,P617,0,Poor,7.66,3.12,2270,25282.72,Normal
33,2026-04-28,South,DS17,River,198896.95,188283.33,10613.62,21.0,P731,4,Poor,8.34,2.69,3129,98269.83,Normal
34,2026-02-17,East,DS21,River,87431.52,65329.58,22101.94,52.8,P294,4,Excellent,8.34,2.85,4616,77922.05,Normal
35,2026-03-10,South,DS3,TreatmentPlant,165348.91,113287.23,52061.68,25.9,P302,3,Moderate,7.07,4.16,1447,35137.01,Leakage
36,2026-02-07,West,DS13,Groundwater,142401.9,95128.1,47273.8,50.6,P763,4,Poor,7.64,9.0,3146,88973.6,Normal
37,2026-05-09,West,DS18,Reservoir,124969.2,97098.62,27870.58,58.9,P352,3,Good,6.81,7.81,873,40249.73,Normal
38,2026-05-16,South,DS22,TreatmentPlant,89055.75,82226.08,6829.67,72.6,P234,5,Good,7.95,3.27,1304,51892.15,Critical
39,2026-02-11,North,DS21,Groundwater,162838.5,150249.95,12588.55,60.8,P658,5,Poor,7.39,6.34,4677,74812.23,Maintenance
40,2026-03-17,East,DS22,Groundwater,82883.88,73835.46,9048.42,57.2,P900,0,Poor,6.57,9.44,3383,7533.96,Normal
41,2026-06-27,East,DS12,Groundwater,113093.36,74982.63,38110.73,76.3,P909,5,Good,7.98,8.53,2271,8934.46,Normal
42,2026-05-08,South,DS15,Groundwater,62681.8,58965.18,3716.62,43.0,P852,1,Poor,7.05,1.72,3830,20772.5,Maintenance
43,2026-04-22,Central,DS17,TreatmentPlant,91552.33,66531.75,25020.58,79.1,P108,4,Good,8.48,3.87,3599,22874.34,Normal
44,2026-04-30,East,DS29,Reservoir,52087.5,34486.02,17601.48,44.0,P532,1,Excellent,7.45,8.95,4323,63200.2,Maintenance
45,2026-05-29,Central,DS8,TreatmentPlant,171560.66,146849.94,24710.72,46.1,P493,1,Excellent,6.72,8.49,1437,8861.18,Normal
46,2026-05-23,Central,DS27,Reservoir,113212.76,81965.5,31247.26,58.8,P518,5,Moderate,7.21,9.39,2872,54900.07,Normal
47,2026-05-07,South,DS22,Reservoir,193876.01,185943.87,7932.14,63.1,P532,5,Good,7.99,0.93,947,83958.34,Normal
48,2026-05-14,Central,DS3,Reservoir,57402.76,38911.68,18491.08,56.8,P321,1,Moderate,7.26,2.88,2959,53057.49,Maintenance
49,2026-04-13,North,DS22,TreatmentPlant,186183.59,135174.5,51009.09,53.5,P314,0,Poor,7.7,8.23,1708,66528.65,Maintenance
50,2026-01-05,South,DS27,Reservoir,136151.43,111530.62,24620.81,66.6,P152,0,Good,6.82,9.29,4474,13959.52,Normal
51,2026-05-09,North,DS12,River,58186.02,41687.58,16498.44,72.1,P978,3,Good,7.09,0.57,4576,69233.95,Normal
52,2026-03-18,South,DS9,Groundwater,177144.26,168148.61,8995.65,58.0,P215,4,Good,8.19,9.31,3448,59571.5,Maintenance
53,2026-05-30,South,DS18,Reservoir,64593.43,53868.86,10724.57,70.8,P572,5,Moderate,7.8,5.0,2802,89821.3,Leakage
54,2026-05-04,Central,DS23,TreatmentPlant,171656.42,126340.59,45315.83,23.8,P831,0,Poor,7.59,8.38,1410,37754.74,Normal
55,2026-05-15,South,DS20,Reservoir,73861.32,57182.75,16678.57,36.8,P994,4,Excellent,6.97,8.8,3267,13151.82,Critical
56,2026-01-03,Central,DS12,TreatmentPlant,196278.67,171868.72,24409.95,53.4,P318,1,Excellent,6.62,9.89,3116,39608.19,Normal
57,2026-02-17,South,DS21,Reservoir,196759.04,175947.08,20811.96,56.0,P670,1,Excellent,8.15,8.95,2852,12105.07,Normal
58,2026-01-15,North,DS27,River,115417.41,86092.87,29324.54,61.6,P183,5,Good,6.71,4.99,4137,16420.6,Normal
59,2026-03-23,East,DS7,River,53897.25,42816.11,11081.14,64.7,P321,4,Good,8.21,7.0,2332,3043.52,Leakage
60,2026-03-03,North,DS20,Groundwater,85817.3,78932.95,6884.35,23.0,P303,3,Moderate,7.9,9.88,3840,29029.36,Maintenance
61,2026-02-10,North,DS15,Groundwater,167600.31,109485.07,58115.24,73.5,P110,5,Poor,8.06,3.72,3228,43878.12,Maintenance
62,2026-01-08,Central,DS8,Reservoir,180213.39,139474.05,40739.34,35.6,P248,4,Good,8.32,3.58,3324,39685.99,Leakage
63,2026-02-03,Central,DS13,Reservoir,29250.69,21767.23,7483.46,37.3,P389,4,Poor,7.01,8.35,4444,95724.79,Normal
64,2026-04-09,North,DS25,Groundwater,43425.79,34484.17,8941.62,56.9,P741,4,Excellent,6.71,0.78,4701,83284.48,Normal
65,2026-02-19,East,DS6,River,151086.75,131265.31,19821.44,75.9,P107,2,Excellent,6.78,4.82,2883,51974.87,Normal
66,2026-03-01,North,DS10,River,82971.17,69823.94,13147.23,57.8,P177,2,Good,6.81,0.36,1345,77174.89,Normal
67,2026-04-05,South,DS16,Reservoir,68092.14,59097.9,8994.24,66.5,P435,3,Excellent,6.82,3.51,1107,36028.34,Normal
68,2026-01-13,North,DS4,Reservoir,167300.57,128024.18,39276.39,30.8,P900,2,Good,7.56,2.34,3040,86414.21,Leakage
69,2026-03-04,North,DS2,River,107281.91,93804.55,13477.36,48.9,P533,0,Moderate,6.95,6.66,3233,78479.99,Normal
70,2026-06-06,West,DS12,Groundwater,46424.84,30346.07,16078.77,33.4,P891,4,Good,8.3,9.37,2548,13362.05,Normal
71,2026-03-28,West,DS24,Groundwater,26531.0,17964.25,8566.75,21.2,P204,2,Good,6.66,0.1,4044,72872.27,Normal
72,2026-04-28,West,DS5,Groundwater,52956.81,51483.17,1473.64,65.1,P709,0,Poor,8.31,2.58,2892,93089.44,Normal
73,2026-02-08,North,DS13,TreatmentPlant,179700.18,135615.84,44084.34,52.3,P780,1,Excellent,7.07,2.5,2078,77577.53,Normal
74,2026-06-22,West,DS29,Groundwater,114151.62,111498.95,2652.67,28.2,P786,4,Poor,8.03,3.95,3449,82425.3,Leakage
75,2026-04-29,South,DS8,Groundwater,161289.93,106113.23,55176.7,48.6,P220,3,Excellent,7.84,8.83,2145,78671.81,Maintenance
76,2026-05-23,East,DS4,Reservoir,37230.84,30749.32,6481.52,35.5,P344,3,Poor,7.59,1.37,1740,26732.04,Leakage
77,2026-06-08,Central,DS12,River,198710.7,180389.09,18321.61,46.3,P776,5,Poor,7.57,4.29,1496,85467.57,Normal
78,2026-04-26,South,DS23,River,20011.54,16767.39,3244.15,43.7,P767,5,Moderate,7.35,4.65,3841,33599.44,Normal
79,2026-05-04,North,DS4,Groundwater,58145.68,46073.09,12072.59,37.1,P524,0,Good,6.81,3.66,1161,72113.72,Normal
80,2026-03-23,South,DS14,Reservoir,32035.19,28287.4,3747.79,37.1,P646,0,Moderate,7.07,2.73,906,3011.36,Normal
81,2026-04-26,Central,DS14,TreatmentPlant,149582.34,143896.17,5686.17,24.6,P128,3,Poor,7.79,0.9,1289,51191.69,Normal
82,2026-01-03,North,DS6,Groundwater,77993.69,70028.5,7965.19,40.5,P402,4,Excellent,7.38,8.5,2311,16562.12,Normal
83,2026-05-07,West,DS9,Groundwater,175594.48,143085.08,32509.4,46.7,P111,5,Moderate,7.54,5.05,1029,79891.2,Normal
84,2026-03-05,West,DS4,Reservoir,198205.16,141618.22,56586.94,38.6,P480,3,Moderate,7.64,1.06,839,16281.95,Normal
85,2026-06-24,Central,DS18,Reservoir,100588.71,70434.5,30154.21,76.6,P385,0,Poor,7.35,3.2,1763,14311.81,Leakage
86,2026-03-14,North,DS14,TreatmentPlant,68603.17,60128.14,8475.03,79.2,P713,5,Moderate,7.3,0.37,637,12288.35,Maintenance
87,2026-06-16,West,DS4,River,100470.73,97434.98,3035.75,72.3,P290,5,Poor,7.81,4.73,3422,76253.88,Maintenance
88,2026-04-24,South,DS1,Reservoir,151022.78,98448.84,52573.94,74.9,P924,1,Poor,7.76,2.96,3673,95340.37,Normal
89,2026-02-11,Central,DS19,River,141863.19,92899.85,48963.34,60.2,P474,4,Excellent,6.59,9.67,1002,48868.14,Maintenance
90,2026-02-13,North,DS10,TreatmentPlant,162393.05,144919.63,17473.42,24.8,P247,5,Poor,6.93,1.31,1611,35751.69,Normal
91,2026-04-08,East,DS25,TreatmentPlant,192968.5,185000.93,7967.57,40.9,P493,5,Moderate,7.93,1.74,2559,98221.18,Normal
92,2026-06-11,Central,DS21,River,48026.35,38621.46,9404.89,28.6,P357,3,Good,6.69,5.92,4737,87060.29,Maintenance
93,2026-04-04,West,DS16,TreatmentPlant,165404.17,159176.03,6228.14,25.7,P414,4,Moderate,8.05,6.98,4973,27539.69,Normal
94,2026-06-11,East,DS28,Reservoir,166408.63,145911.42,20497.21,35.9,P954,0,Moderate,6.54,6.6,836,66369.02,Normal
95,2026-06-12,Central,DS26,River,168362.8,149487.43,18875.37,53.8,P510,4,Excellent,8.02,7.26,1233,70206.06,Normal
96,2026-03-22,Central,DS17,River,164538.98,109717.31,54821.67,49.4,P352,0,Excellent,7.73,4.05,1695,15545.26,Normal
97,2026-05-22,East,DS13,Groundwater,143546.55,118212.56,25333.99,61.9,P749,0,Good,6.7,9.85,4221,6278.03,Normal
98,2026-02-11,East,DS27,Groundwater,168547.75,140731.22,27816.53,40.1,P535,5,Poor,6.74,3.23,2306,51385.73,Critical
99,2026-04-30,East,DS10,Groundwater,119908.82,87436.61,32472.21,20.3,P825,4,Good,8.33,3.67,3616,45030.98,Leakage
100,2026-04-29,East,DS10,River,139296.02,129366.96,9929.06,54.6,P616,1,Excellent,7.74,2.28,615,91320.16,Normal
101,2026-01-23,Central,DS19,River,183614.53,152695.75,30918.78,73.6,P907,5,Moderate,8.44,8.81,2031,96596.15,Maintenance
102,2026-05-07,West,DS26,River,63241.34,51911.49,11329.85,64.6,P837,0,Excellent,6.78,4.22,1548,90789.22,Normal
103,2026-01-16,North,DS3,TreatmentPlant,121684.81,80547.83,41136.98,24.5,P484,4,Good,7.81,7.62,1669,42823.95,Normal
104,2026-04-13,East,DS27,Groundwater,41020.17,30058.59,10961.58,79.0,P266,4,Excellent,8.42,5.18,2641,89223.76,Maintenance
105,2026-01-29,North,DS19,Groundwater,26428.99,18852.01,7576.98,29.8,P232,0,Moderate,7.31,7.87,1603,81425.08,Maintenance
106,2026-03-12,Central,DS12,TreatmentPlant,134283.5,119218.97,15064.53,56.5,P496,0,Moderate,7.9,5.87,4355,21488.28,Normal
107,2026-03-22,North,DS4,TreatmentPlant,150176.94,107650.85,42526.09,36.6,P339,1,Poor,6.71,9.52,4057,35943.29,Leakage
108,2026-01-08,East,DS28,River,72718.16,67539.34,5178.82,36.5,P980,2,Excellent,7.74,9.55,3165,43891.8,Maintenance
109,2026-03-13,West,DS15,Reservoir,36972.25,28409.78,8562.47,42.5,P238,4,Excellent,8.03,3.46,4257,50697.99,Normal
110,2026-01-26,East,DS6,Groundwater,152496.15,127115.54,25380.61,56.8,P879,2,Moderate,7.66,5.04,3935,11002.63,Critical
111,2026-05-10,West,DS17,River,139422.24,94420.82,45001.42,71.8,P754,4,Moderate,7.02,7.21,3452,6127.04,Leakage
112,2026-04-04,West,DS24,River,158989.72,104069.18,54920.54,63.8,P230,4,Excellent,6.53,0.24,1342,84166.91,Normal
113,2026-01-02,North,DS23,Groundwater,150527.62,145064.58,5463.04,20.5,P135,4,Moderate,7.63,2.68,1736,97106.26,Leakage
114,2026-04-11,West,DS5,Groundwater,146968.34,125523.18,21445.16,47.8,P603,3,Excellent,7.32,2.85,1465,11177.36,Leakage
115,2026-04-15,West,DS30,TreatmentPlant,40613.53,36238.61,4374.92,76.0,P178,4,Good,7.38,1.0,2886,64350.07,Normal
116,2026-01-10,East,DS29,TreatmentPlant,124173.01,111745.35,12427.66,73.2,P464,4,Moderate,7.22,5.71,1962,6841.98,Normal
117,2026-01-06,East,DS1,Groundwater,185407.53,142876.08,42531.45,40.2,P294,0,Poor,7.24,2.27,2141,43528.74,Normal
118,2026-01-19,South,DS8,TreatmentPlant,91035.37,62373.4,28661.97,61.3,P700,3,Poor,8.26,2.04,1244,57604.46,Normal
119,2026-01-04,East,DS26,TreatmentPlant,183065.68,160658.52,22407.16,76.8,P144,4,Moderate,6.91,9.93,3783,39590.4,Normal
120,2026-05-07,East,DS5,River,75683.84,60375.4,15308.44,72.1,P184,2,Excellent,7.0,7.33,1533,31836.4,Leakage
121,2026-02-04,South,DS4,Groundwater,113805.64,95229.36,18576.28,53.2,P846,5,Poor,7.64,2.15,4872,58689.81,Normal
122,2026-01-13,East,DS14,Groundwater,156873.88,130963.48,25910.4,54.0,P477,0,Poor,6.83,5.28,2522,75991.09,Critical
123,2026-03-17,West,DS29,Reservoir,27309.25,22548.75,4760.5,31.6,P467,3,Poor,6.96,8.61,4845,38028.74,Leakage
124,2026-03-16,Central,DS15,River,95292.5,71813.23,23479.27,35.3,P863,4,Good,7.58,3.48,2103,90027.01,Maintenance
125,2026-06-21,Central,DS7,Groundwater,97642.43,80595.35,17047.08,54.1,P553,4,Moderate,7.43,2.66,2498,25734.51,Leakage
126,2026-01-29,East,DS10,Groundwater,22654.39,16642.43,6011.96,34.9,P472,5,Good,8.37,9.2,3024,2107.17,Maintenance
127,2026-05-27,West,DS4,Reservoir,111097.66,99292.27,11805.39,69.9,P810,2,Excellent,7.35,1.33,2678,25652.69,Normal
128,2026-02-18,North,DS10,Reservoir,89419.16,83681.53,5737.63,61.4,P922,0,Poor,6.66,1.81,4301,24453.88,Critical
129,2026-06-18,Central,DS24,Groundwater,146244.79,126549.48,19695.31,73.9,P875,3,Good,7.57,3.2,3119,25994.01,Normal
130,2026-06-13,South,DS17,Reservoir,131268.69,124220.22,7048.47,52.6,P740,3,Good,7.35,3.7,3285,95884.3,Normal
131,2026-01-26,East,DS7,River,50463.62,40346.49,10117.13,30.8,P327,0,Excellent,7.3,9.49,3749,95693.3,Normal
132,2026-04-13,West,DS29,River,43087.14,33817.11,9270.03,36.1,P178,5,Excellent,7.35,6.24,2893,30295.29,Normal
133,2026-03-23,Central,DS29,Groundwater,174387.34,153926.76,20460.58,38.2,P787,3,Poor,6.95,9.35,4675,43748.13,Normal
134,2026-02-17,West,DS1,TreatmentPlant,33404.8,26809.05,6595.75,64.4,P323,1,Moderate,7.42,1.8,2849,97405.77,Normal
135,2026-05-31,Central,DS2,Groundwater,194546.06,183434.24,11111.82,31.9,P828,3,Poor,7.91,7.67,3892,53898.08,Normal
136,2026-04-13,West,DS20,Groundwater,86203.54,62457.92,23745.62,34.8,P914,0,Excellent,7.16,6.34,2960,75037.97,Normal
137,2026-03-21,North,DS14,River,160800.24,155108.21,5692.03,52.6,P377,2,Good,7.41,3.77,3434,36755.97,Normal
138,2026-01-08,North,DS18,Groundwater,82510.17,78149.14,4361.03,62.7,P299,3,Poor,7.37,8.17,3112,56077.07,Normal
139,2026-01-16,East,DS11,TreatmentPlant,130790.03,96175.66,34614.37,31.3,P705,5,Poor,8.4,0.81,3319,95140.97,Normal
140,2026-04-30,North,DS11,TreatmentPlant,38497.09,29179.97,9317.12,29.1,P588,5,Moderate,7.95,6.46,809,70806.78,Normal
141,2026-05-22,North,DS17,Reservoir,164456.63,125322.5,39134.13,76.3,P100,5,Good,7.84,6.63,4822,20206.14,Normal
142,2026-02-19,East,DS12,Groundwater,39807.08,32774.54,7032.54,64.4,P897,5,Moderate,6.52,2.72,605,5032.36,Normal
143,2026-06-22,Central,DS8,Reservoir,138129.46,123524.89,14604.57,49.7,P927,1,Excellent,7.62,8.66,1186,69740.3,Leakage
144,2026-03-22,East,DS11,Groundwater,29284.59,20047.49,9237.1,74.9,P936,3,Excellent,7.86,3.39,2825,68235.54,Critical
145,2026-01-01,East,DS24,River,114928.7,110479.22,4449.48,54.6,P687,2,Moderate,8.18,1.53,4242,79451.41,Normal
146,2026-04-13,South,DS14,River,89077.66,85420.87,3656.79,62.1,P245,3,Good,6.64,2.26,3182,59592.82,Normal
147,2026-03-16,South,DS10,Reservoir,125193.52,88695.24,36498.28,60.8,P296,4,Good,6.73,1.02,1408,91443.87,Normal
148,2026-03-21,East,DS5,Groundwater,189374.23,154015.62,35358.61,47.5,P873,1,Poor,7.91,9.17,2990,1194.23,Normal
149,2026-04-21,West,DS14,TreatmentPlant,142488.44,102533.55,39954.89,58.5,P471,1,Moderate,7.59,4.56,4757,12032.94,Normal
150,2026-03-07,East,DS24,Groundwater,65245.56,52253.89,12991.67,24.0,P244,0,Good,7.32,2.82,4479,91491.1,Maintenance
151,2026-04-23,West,DS13,Groundwater,94213.71,64758.39,29455.32,48.4,P105,0,Good,6.8,6.73,2392,59642.21,Maintenance
152,2026-06-26,North,DS10,Groundwater,166872.08,162500.9,4371.18,43.5,P304,2,Moderate,6.7,5.89,1348,74532.51,Normal
153,2026-01-20,East,DS6,Groundwater,58427.34,37994.46,20432.88,61.1,P974,4,Moderate,8.11,0.6,1063,88961.92,Normal
154,2026-01-11,East,DS25,Reservoir,134548.97,104139.08,30409.89,51.3,P643,2,Poor,7.11,6.83,926,82124.64,Normal
155,2026-03-30,South,DS22,TreatmentPlant,101760.58,92622.62,9137.96,60.8,P633,3,Poor,7.08,9.59,3276,18458.74,Normal
156,2026-03-11,North,DS25,TreatmentPlant,148546.99,131510.13,17036.86,74.6,P417,1,Poor,6.58,7.76,2153,69584.49,Normal
157,2026-02-18,East,DS16,River,48976.02,47108.68,1867.34,29.3,P503,1,Good,6.86,7.98,3715,12921.67,Normal
158,2026-01-20,East,DS6,TreatmentPlant,124182.71,97191.1,26991.61,61.4,P289,1,Poor,7.28,3.03,3380,26313.85,Normal
159,2026-04-19,North,DS25,Groundwater,11794.68,7777.61,4017.07,42.3,P905,4,Excellent,7.06,2.16,1751,36627.69,Normal
160,2026-04-26,Central,DS12,Reservoir,148335.53,112458.28,35877.25,71.1,P139,5,Poor,7.32,5.88,2213,78811.38,Normal
161,2026-01-29,Central,DS7,TreatmentPlant,87650.15,58628.25,29021.9,36.6,P930,2,Moderate,7.0,4.79,4599,78437.86,Maintenance
162,2026-05-17,East,DS21,River,173579.09,140835.19,32743.9,75.6,P347,2,Excellent,8.36,9.42,4605,95767.82,Normal
163,2026-06-09,East,DS13,Groundwater,43946.43,42628.86,1317.57,68.5,P328,2,Poor,6.54,9.89,2644,31270.24,Leakage
164,2026-01-10,Central,DS24,Groundwater,57697.15,42285.62,15411.53,21.3,P336,2,Moderate,6.98,3.69,1103,81765.42,Normal
165,2026-03-14,East,DS15,Groundwater,169666.61,128792.65,40873.96,58.0,P714,4,Poor,7.42,2.91,2623,24561.77,Normal
166,2026-04-30,South,DS19,River,121442.59,85058.37,36384.22,55.2,P256,1,Good,7.44,6.63,928,68390.07,Normal
167,2026-04-10,East,DS15,Groundwater,196607.7,188932.72,7674.98,67.4,P617,0,Moderate,7.19,8.46,1952,33625.82,Normal
168,2026-05-27,North,DS23,TreatmentPlant,98677.75,90938.53,7739.22,26.9,P358,2,Moderate,6.84,8.15,1707,83124.25,Maintenance
169,2026-06-01,West,DS13,Reservoir,167855.11,156553.66,11301.45,57.7,P659,0,Excellent,7.17,1.68,2821,9398.1,Normal
170,2026-02-22,Central,DS16,River,96684.89,63897.71,32787.18,31.0,P316,0,Excellent,7.21,0.66,2527,94156.65,Normal
171,2026-02-21,East,DS20,TreatmentPlant,193976.32,171742.93,22233.39,42.7,P285,1,Excellent,7.67,1.3,3979,80103.76,Maintenance
172,2026-05-06,North,DS23,Reservoir,100137.88,91998.55,8139.33,57.0,P544,4,Poor,8.26,6.48,2995,54522.3,Normal
173,2026-05-23,Central,DS5,Reservoir,110363.74,78302.28,32061.46,38.5,P243,0,Moderate,7.73,7.85,2361,38676.4,Normal
174,2026-06-10,South,DS4,Groundwater,191868.93,158986.26,32882.67,54.3,P173,0,Moderate,7.37,9.68,1263,32410.53,Leakage
175,2026-01-03,Central,DS24,Groundwater,17115.07,13971.98,3143.09,70.7,P311,2,Poor,6.84,2.69,4809,22090.5,Normal
176,2026-06-24,North,DS28,River,32191.1,21971.69,10219.41,33.0,P945,2,Good,8.28,3.52,2608,64931.31,Normal
177,2026-05-18,South,DS21,Groundwater,181391.79,159824.92,21566.87,58.3,P404,3,Moderate,7.92,0.67,581,48710.27,Normal
178,2026-03-05,East,DS13,Reservoir,163054.77,123327.09,39727.68,35.2,P604,5,Excellent,7.91,0.37,3852,51195.24,Critical
179,2026-06-03,North,DS13,Groundwater,136370.14,96471.72,39898.42,36.4,P728,0,Poor,6.62,0.15,3321,9378.08,Normal
180,2026-01-27,South,DS3,Reservoir,83356.21,56406.3,26949.91,65.5,P574,1,Poor,8.01,1.78,3461,65540.93,Normal
181,2026-03-06,South,DS24,TreatmentPlant,171306.23,116492.97,54813.26,42.7,P749,2,Moderate,8.14,7.44,1254,97541.61,Maintenance
182,2026-01-13,North,DS25,River,143123.25,97270.03,45853.22,23.8,P754,1,Excellent,6.79,2.17,4547,90900.58,Maintenance
183,2026-01-25,North,DS17,Groundwater,99805.86,88168.33,11637.53,57.9,P441,4,Good,7.7,5.86,2895,81485.0,Normal
184,2026-02-24,North,DS25,Groundwater,22725.84,14937.52,7788.32,68.9,P722,1,Moderate,8.35,4.91,1013,3472.9,Maintenance
185,2026-05-07,North,DS8,River,33332.41,27178.81,6153.6,64.4,P465,5,Poor,6.73,7.15,4026,29605.96,Maintenance
186,2026-03-12,Central,DS1,Reservoir,193830.27,131634.36,62195.91,54.5,P135,3,Good,8.49,0.84,735,21058.96,Normal
187,2026-03-01,West,DS4,River,189751.59,164792.74,24958.85,45.1,P702,5,Poor,7.79,5.82,4593,1085.15,Leakage
188,2026-04-05,Central,DS17,TreatmentPlant,140001.63,104399.16,35602.47,73.1,P826,0,Moderate,7.08,5.81,4307,79491.88,Normal
189,2026-05-14,Central,DS8,TreatmentPlant,145420.67,100102.13,45318.54,41.7,P160,4,Excellent,8.31,1.42,3408,22745.63,Critical
190,2026-03-29,South,DS28,River,13897.09,12338.87,1558.22,37.0,P130,2,Good,6.8,1.21,3965,84570.26,Maintenance
191,2026-03-18,West,DS9,Groundwater,39447.18,33844.63,5602.55,70.1,P835,5,Good,7.22,4.12,1829,95663.37,Normal
192,2026-01-04,East,DS28,Groundwater,117911.44,103364.3,14547.14,70.3,P945,1,Good,7.42,1.06,2555,31243.23,Normal
193,2026-02-15,North,DS15,TreatmentPlant,193662.18,147790.74,45871.44,65.3,P389,4,Moderate,7.59,2.28,4306,65500.32,Normal
194,2026-03-06,South,DS26,Reservoir,101308.06,90830.0,10478.06,61.7,P327,2,Excellent,7.35,3.17,4071,56942.67,Critical
195,2026-05-24,West,DS1,Reservoir,153779.26,107547.44,46231.82,55.6,P315,1,Moderate,7.91,8.97,3789,27075.94,Normal
196,2026-02-19,East,DS13,Reservoir,53543.31,45570.12,7973.19,73.1,P331,5,Excellent,7.65,4.43,1843,59843.78,Normal
197,2026-05-28,East,DS18,River,114078.89,77394.3,36684.59,35.8,P545,2,Good,7.3,7.47,2032,55989.89,Normal
